player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Ben Rice,108,724,14.9,30,25,18,5,1,1,0,3,8,26.7,4,13.3,14,57,.200,.268,.300,.360,.600,.696,.368,.429,4,89.9,91.9,20
Michael Massey,107,1330,8.0,23,22,22,6,4,1,0,1,1,4.3,0,0.0,6,59,.273,.311,.261,.307,.455,.529,.297,.349,1,89.6,92.0,19
Dylan Carlson,107,1110,9.6,26,22,18,2,2,0,0,0,5,19.2,3,11.5,15,60,.091,.182,.192,.272,.091,.232,.147,.238,0,90.4,82.8,13
Matt Wallner,107,1030,10.4,22,18,13,8,6,1,0,1,5,22.7,2,9.1,15,42,.444,.398,.545,.508,.667,.718,.519,.515,3,90.0,88.9,18
Zach McKinstry,107,1249,8.6,25,23,19,8,6,1,0,1,4,16.0,2,8.0,8,51,.348,.313,.400,.368,.522,.442,.399,.355,1,90.2,83.5,22
Zack Gelof,106,2055,5.2,26,23,19,6,5,1,0,0,5,19.2,2,7.7,20,53,.261,.285,.308,.333,.304,.457,.271,.339,1,88.9,91.5,22
Royce Lewis,106,1233,8.6,25,20,14,2,1,0,0,1,6,24.0,5,20.0,14,44,.100,.216,.280,.373,.250,.438,.255,.357,2,90.5,92.5,18
Tyler Freeman,106,1381,7.7,25,19,17,5,4,1,0,0,2,8.0,6,24.0,5,43,.263,.321,.440,.484,.316,.414,.357,.406,0,89.2,90.7,10
Edouard Julien,106,1235,8.6,25,23,14,3,3,0,0,0,9,36.0,2,8.0,17,42,.130,.184,.200,.249,.130,.204,.161,.210,0,90.5,81.8,4
Luis Robert Jr.,105,1609,6.5,18,16,9,2,1,1,0,0,7,38.9,2,11.1,26,55,.125,.110,.222,.209,.188,.278,.195,.219,1,89.2,85.7,28
Brandon Drury,105,1397,7.5,30,26,22,6,4,2,0,0,6,20.0,2,6.7,14,54,.231,.151,.267,.233,.308,.206,.247,.223,0,90.4,85.4,7
Kyle Higashioka,105,1062,9.9,21,19,15,4,3,0,0,1,4,19.0,2,9.5,9,41,.211,.235,.286,.307,.368,.376,.289,.301,1,89.8,81.1,20
Otto Lopez,104,1545,6.7,26,25,23,8,6,2,0,0,2,7.7,0,0.0,5,52,.320,.292,.320,.292,.400,.386,.312,.297,1,89.6,89.0,1
