player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Chuckie Robinson,62,298,20.8,18,17,13,2,2,0,0,0,4,22.2,1,5.6,12,36,.118,.132,.167,.180,.118,.205,.136,.174,1,90.2,80.8,9
Kody Clemens,61,468,13.0,18,18,16,6,3,2,0,1,2,11.1,0,0.0,6,32,.333,.282,.333,.282,.611,.547,.400,.350,2,89.6,93.2,21
Joshua Palacios,61,307,19.9,18,16,11,3,2,1,0,0,5,27.8,2,11.1,11,25,.188,.207,.278,.295,.250,.258,.244,.256,0,89.9,87.1,9
Niko Kavadas,61,465,13.1,14,11,8,2,1,0,0,1,3,21.4,3,21.4,9,29,.182,.340,.357,.481,.455,.983,.357,.575,3,89.7,97.2,24
Weston Wilson,61,379,16.1,16,14,13,8,5,1,0,2,1,6.3,2,12.5,14,32,.571,.446,.625,.515,1.071,.917,.696,.587,4,90.1,98.5,15
Nick Sogard,60,348,17.2,18,16,13,4,3,1,0,0,4,22.2,1,5.6,8,31,.250,.274,.278,.299,.313,.343,.255,.276,0,90.5,86.0,19
Zach Dezenzo,59,245,24.1,15,15,12,4,3,1,0,0,3,20.0,0,0.0,9,35,.267,.300,.267,.300,.333,.515,.260,.348,1,90.3,77.8,8
Adrian Del Castillo,59,336,17.6,20,20,15,6,6,0,0,0,5,25.0,0,0.0,9,32,.300,.152,.300,.152,.300,.174,.265,.144,0,89.9,85.4,17
Leo Rivas,59,371,15.9,11,7,5,2,1,0,1,0,2,18.2,3,27.3,4,18,.286,.294,.545,.551,.571,.437,.478,.454,0,90.3,94.7,23
Jon Berti,59,271,21.8,19,18,14,6,5,0,0,1,4,21.1,1,5.3,6,27,.333,.296,.368,.333,.500,.397,.376,.321,1,89.2,87.5,11
Jonatan Clase,58,267,21.7,14,12,10,4,2,1,0,1,2,14.3,1,7.1,4,28,.333,.188,.429,.304,.667,.326,.463,.286,0,89.9,92.3,18
José Fermín,58,324,17.9,14,14,13,2,2,0,0,0,1,7.1,0,0.0,1,28,.143,.194,.143,.194,.143,.270,.126,.199,0,89.7,91.2,11
Tyler Black,56,239,23.4,14,12,8,4,3,1,0,0,4,28.6,2,14.3,3,20,.333,.275,.429,.378,.417,.317,.377,.320,0,89.6,78.6,20
