player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Jacob Hurtubise,76,281,27.0,24,22,13,4,4,0,0,0,9,37.5,2,8.3,8,42,.182,.223,.250,.288,.182,.308,.204,.268,0,94.8,82.6,27
Brandon Crawford,76,321,23.7,20,17,10,0,0,0,0,0,7,35.0,3,15.0,10,39,.000,.168,.150,.293,.000,.196,.103,.239,0,94.7,93.5,0
Nick Allen,76,356,21.3,27,23,20,5,4,1,0,0,3,11.1,4,14.8,4,32,.217,.229,.333,.343,.261,.275,.279,.288,0,94.7,89.9,3
Jared Walsh,75,262,28.6,16,13,7,3,2,1,0,0,6,37.5,3,18.8,16,30,.231,.187,.375,.340,.308,.211,.318,.270,0,94.5,79.7,25
Cole Tucker,74,237,31.2,20,16,11,1,0,1,0,0,6,30.0,3,15.0,4,33,.063,.131,.200,.272,.125,.186,.166,.231,0,94.7,91.1,5
José Fermín,72,324,22.2,18,16,16,4,2,1,1,0,0,0.0,2,11.1,2,34,.250,.232,.333,.318,.438,.271,.333,.270,0,94.9,82.0,11
Ryan Kreidler,72,263,27.4,15,12,7,1,1,0,0,0,5,33.3,3,20.0,9,35,.083,.138,.267,.310,.083,.176,.197,.247,0,94.6,87.6,26
Jonatan Clase,71,267,26.6,13,11,7,2,2,0,0,0,4,30.8,1,7.7,6,29,.182,.117,.308,.253,.182,.167,.244,.211,0,94.9,87.7,23
Akil Baddoo,70,318,22.0,25,22,13,3,1,1,0,1,9,36.0,3,12.0,11,39,.136,.215,.240,.309,.318,.544,.250,.359,3,94.9,93.0,24
Marco Luciano,70,325,21.5,20,19,13,5,2,2,1,0,6,30.0,1,5.0,8,38,.263,.311,.300,.345,.474,.432,.328,.338,0,95.2,96.5,4
Jamie Westbrook,68,200,34.0,23,19,11,2,0,2,0,0,10,43.5,2,8.7,13,36,.105,.199,.174,.264,.211,.362,.169,.273,1,95.0,93.1,27
Alan Trejo,66,221,29.9,20,18,14,2,2,0,0,0,4,20.0,1,5.0,5,31,.111,.178,.200,.260,.111,.226,.159,.230,0,94.5,86.0,3
Brian Serven,65,258,25.2,16,14,8,2,1,1,0,0,6,37.5,2,12.5,7,30,.143,.187,.250,.288,.214,.270,.220,.260,0,94.5,85.9,18
José Azocar,65,291,22.3,14,14,8,1,1,0,0,0,6,42.9,0,0.0,11,41,.071,.078,.071,.078,.071,.114,.063,.082,0,94.8,89.2,-6
David Dahl,65,266,24.4,16,14,10,3,2,1,0,0,5,31.3,1,6.3,10,41,.214,.235,.250,.269,.286,.480,.232,.305,1,95.0,89.4,21
Tyler Black,61,239,25.5,15,12,8,3,3,0,0,0,4,26.7,2,13.3,6,31,.250,.180,.400,.344,.250,.209,.316,.275,0,94.9,88.8,13
Drew Millas,61,252,24.2,16,16,13,4,4,0,0,0,3,18.8,0,0.0,2,28,.250,.278,.250,.278,.250,.335,.220,.265,0,95.3,93.2,5
René Pinto,61,185,33.0,20,18,8,4,0,3,0,1,11,55.0,1,5.0,19,35,.222,.119,.250,.182,.556,.443,.325,.286,3,94.4,98.4,41
Ryan Vilade,61,188,32.4,16,14,9,4,4,0,0,0,6,37.5,1,6.3,10,34,.286,.200,.313,.237,.286,.233,.263,.207,0,94.5,94.0,3
Austin Shenton,60,212,28.3,13,11,8,2,2,0,0,0,3,23.1,2,15.4,8,25,.182,.269,.308,.382,.182,.304,.242,.318,0,94.9,81.8,24
Steward Berroa,59,183,32.2,15,14,8,3,3,0,0,0,6,40.0,1,6.7,5,24,.214,.139,.267,.196,.214,.199,.222,.180,0,94.9,87.0,14
Eguy Rosario,58,226,25.7,18,17,15,6,1,4,0,1,2,11.1,0,0.0,6,33,.353,.198,.389,.242,.765,.397,.482,.276,1,94.7,93.1,21
Luke Williams,58,172,33.7,18,17,14,4,2,2,0,0,3,16.7,1,5.6,4,31,.235,.231,.278,.274,.353,.385,.276,.284,1,94.9,92.3,18
Nacho Alvarez Jr.,58,119,48.7,15,14,9,1,1,0,0,0,5,33.3,0,0.0,8,26,.071,.106,.133,.165,.071,.135,.107,.145,0,94.5,81.6,12
Avisaíl García,58,186,31.2,15,15,12,4,3,1,0,0,3,20.0,0,0.0,7,40,.267,.259,.267,.259,.333,.281,.260,.237,0,94.6,83.8,1
Yoán Moncada,57,192,29.7,11,8,6,3,1,2,0,0,2,18.2,3,27.3,3,18,.375,.265,.545,.465,.625,.293,.496,.364,0,94.2,82.1,14
Luken Baker,57,201,28.4,10,9,6,0,0,0,0,0,3,30.0,1,10.0,10,29,.000,.133,.100,.219,.000,.140,.069,.177,0,94.6,89.1,-10
Nick Yorke,57,174,32.8,10,9,5,1,0,0,0,1,4,40.0,1,10.0,11,29,.111,.260,.200,.334,.444,.673,.274,.417,2,94.9,96.2,4
Aaron Hicks,56,284,19.7,11,9,5,2,1,0,0,1,4,36.4,2,18.2,9,24,.222,.257,.364,.392,.556,.468,.392,.379,1,94.5,102.4,3
Braden Shewmake,56,214,26.2,18,18,14,2,2,0,0,0,4,22.2,0,0.0,7,33,.111,.138,.111,.138,.111,.213,.098,.149,0,94.5,86.9,27
Mike Ford,55,229,24.0,16,15,14,3,2,0,0,1,1,6.3,1,6.3,4,33,.200,.223,.250,.272,.400,.465,.281,.314,1,94.9,85.8,24
Gustavo Campero,55,177,31.1,16,16,13,2,2,0,0,0,3,18.8,0,0.0,10,34,.125,.168,.125,.168,.125,.197,.110,.159,0,94.9,79.9,18
Esteury Ruiz,53,246,21.5,11,10,5,0,0,0,0,0,5,45.5,1,9.1,7,27,.000,.008,.091,.098,.000,.011,.063,.070,0,94.8,78.8,45
Justin Foscue,53,187,28.3,10,10,5,0,0,0,0,0,5,50.0,0,0.0,7,26,.000,.081,.000,.081,.000,.162,.000,.103,1,95.1,77.1,28
