player,pitches,total,pitches%,PA,AB,BIP,H,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,PV,EV,LA
Nick Madrigal,80,358,22.3,19,15,14,3,2,1,0,0,1,5.3,1,5.3,1,33,.200,.205,.368,.372,.267,.247,.309,.304,0,94.6,87.4,-4
Luis Urías,80,452,17.7,23,17,13,7,4,2,0,1,4,17.4,4,17.4,6,36,.412,.306,.565,.487,.706,.578,.534,.458,2,92.7,90.9,6
James Outman,79,634,12.5,23,21,15,7,6,0,0,1,6,26.1,2,8.7,7,36,.333,.327,.391,.386,.476,.540,.379,.395,1,92.7,89.5,5
Andrés Chaparro,79,525,15.0,25,22,21,4,2,1,0,1,1,4.0,1,4.0,5,39,.182,.256,.280,.346,.364,.500,.288,.364,2,92.6,92.8,15
Tyler Soderstrom,78,770,10.1,21,17,15,6,4,1,0,1,2,9.5,4,19.0,5,31,.353,.235,.476,.381,.588,.480,.457,.373,1,93.7,83.7,0
Jonathan Aranda,78,573,13.6,28,26,18,7,6,1,0,0,8,28.6,2,7.1,5,33,.269,.216,.321,.272,.308,.311,.283,.259,2,93.0,90.5,5
Zack Short,78,391,19.9,18,15,13,2,1,1,0,0,2,11.1,3,16.7,5,28,.133,.197,.278,.331,.200,.335,.234,.301,1,92.6,90.5,17
Pavin Smith,76,631,12.0,17,14,10,5,3,0,0,2,4,23.5,3,17.6,3,24,.357,.406,.471,.511,.786,.847,.518,.556,2,94.4,91.0,3
Brooks Lee,76,614,12.4,29,28,24,4,3,1,0,0,4,13.8,1,3.4,5,44,.143,.193,.172,.222,.179,.290,.158,.224,1,93.5,84.0,5
Matt Thaiss,76,754,10.1,24,22,17,6,4,1,0,1,5,20.8,2,8.3,5,36,.273,.281,.333,.341,.455,.575,.342,.384,3,92.4,89.0,11
Bryan Ramos,76,418,18.2,16,15,11,5,3,2,0,0,4,25.0,1,6.3,9,30,.333,.274,.375,.319,.467,.351,.365,.297,1,93.0,91.4,4
Chuckie Robinson,75,298,25.2,20,18,15,2,2,0,0,0,3,15.0,2,10.0,7,41,.111,.172,.200,.255,.111,.240,.157,.228,1,93.3,79.1,0
Dylan Crews,75,520,14.4,23,21,16,5,5,0,0,0,5,21.7,2,8.7,4,31,.238,.242,.304,.308,.238,.355,.252,.293,1,92.1,88.6,3
Dane Myers,74,425,17.4,17,15,11,7,4,2,0,1,5,29.4,1,5.9,6,28,.467,.302,.471,.358,.800,.545,.516,.400,3,94.1,91.3,6
Garrett Cooper,74,450,16.4,16,13,10,2,2,0,0,0,3,18.8,1,6.3,6,28,.154,.207,.313,.355,.154,.272,.243,.298,1,93.5,85.1,-1
J.D. Davis,74,587,12.6,20,15,12,4,2,1,0,1,3,15.0,2,10.0,7,31,.267,.217,.450,.413,.533,.424,.430,.379,1,93.8,86.3,6
Austin Hedges,72,547,13.2,18,16,15,3,2,1,0,0,1,5.6,2,11.1,5,40,.188,.129,.278,.226,.250,.214,.244,.207,0,92.9,86.2,16
Dairon Blanco,72,459,15.7,25,20,17,8,6,2,0,0,3,12.0,3,12.0,3,32,.400,.275,.500,.396,.500,.413,.441,.362,1,93.5,87.8,-14
José Fermín,72,324,22.2,15,15,15,3,2,0,1,0,0,0.0,0,0.0,2,37,.200,.224,.200,.224,.333,.273,.224,.216,0,93.5,90.7,3
Kyle McCann,71,636,11.2,20,16,11,4,3,1,0,0,5,25.0,4,20.0,6,26,.250,.143,.400,.315,.313,.230,.333,.266,0,93.3,94.0,16
Jacob Wilson,70,349,20.1,22,19,18,6,3,2,1,0,1,4.5,2,9.1,0,35,.316,.277,.409,.376,.526,.341,.402,.325,0,93.9,91.1,-1
Will Wagner,70,364,19.2,14,13,11,3,1,1,0,1,2,14.3,1,7.1,6,32,.231,.279,.286,.330,.538,.371,.348,.311,0,93.2,89.1,5
Dillon Dingler,70,331,21.1,19,18,12,3,3,0,0,0,6,31.6,1,5.3,6,35,.167,.206,.211,.248,.167,.233,.175,.217,0,93.4,95.6,-9
Nasim Nuñez,70,327,21.4,16,14,12,5,4,1,0,0,2,12.5,2,12.5,4,29,.357,.188,.438,.290,.429,.250,.385,.251,0,93.2,78.0,-3
Trey Sweeney,68,448,15.2,15,14,13,2,2,0,0,0,1,6.7,1,6.7,5,32,.143,.260,.200,.309,.143,.450,.164,.327,1,93.3,93.0,9
Alika Williams,68,336,20.2,27,24,22,4,2,2,0,0,2,7.4,2,7.4,1,38,.167,.249,.259,.332,.250,.383,.236,.316,2,93.1,87.0,12
Reese McGuire,68,609,11.2,17,13,13,4,3,0,0,1,0,0.0,4,23.5,2,26,.308,.379,.471,.525,.538,.594,.438,.479,1,92.5,85.5,12
Dominic Canzone,68,696,9.8,23,22,15,5,3,1,0,1,7,30.4,1,4.3,8,36,.227,.239,.261,.272,.409,.481,.289,.321,2,94.2,89.3,1
Miguel Sanó,67,402,16.7,21,17,14,4,3,1,0,0,3,14.3,2,9.5,2,30,.235,.295,.381,.429,.294,.371,.320,.366,0,93.4,97.6,2
Alex Kirilloff,67,677,9.9,15,13,10,7,3,3,1,0,3,20.0,1,6.7,6,27,.538,.287,.600,.382,.923,.570,.627,.405,2,93.4,93.2,5
Ryan Noda,66,499,13.2,19,15,11,2,2,0,0,0,4,21.1,4,21.1,5,32,.133,.266,.316,.420,.133,.458,.238,.388,1,93.1,85.4,12
Tommy Edman,66,567,11.6,18,16,12,5,2,2,0,1,4,22.2,2,11.1,4,32,.313,.295,.389,.373,.625,.481,.428,.372,1,93.7,91.9,3
Aaron Schunk,65,371,17.5,19,19,16,7,6,1,0,0,3,15.8,0,0.0,5,35,.368,.260,.368,.260,.421,.329,.344,.257,0,92.0,87.2,-4
Marco Luciano,65,325,20.0,20,20,17,4,1,3,0,0,3,15.0,0,0.0,2,34,.200,.398,.200,.398,.350,.619,.232,.434,1,92.7,93.4,2
Leo Rivas,64,371,17.3,15,12,10,3,2,0,1,0,2,13.3,3,20.0,3,30,.250,.349,.400,.479,.417,.436,.361,.411,0,92.6,87.8,8
Sean Bouchard,63,431,14.6,14,10,9,4,3,1,0,0,1,7.1,4,28.6,4,22,.400,.252,.571,.465,.500,.428,.475,.404,1,94.3,88.3,4
Trevor Story,63,373,16.9,13,11,8,3,3,0,0,0,3,23.1,1,7.7,4,25,.273,.127,.385,.261,.273,.188,.312,.223,0,93.7,85.3,30
Oliver Dunn,63,418,15.1,19,15,10,5,5,0,0,0,5,26.3,3,15.8,4,25,.333,.245,.474,.404,.333,.327,.379,.340,0,92.3,91.9,3
Ji Hwan Bae,63,313,20.1,20,18,13,4,4,0,0,0,5,25.0,2,10.0,9,34,.222,.272,.300,.344,.222,.473,.245,.354,2,94.1,94.8,4
Joshua Palacios,61,307,19.9,16,12,12,3,2,0,0,1,0,0.0,4,25.0,4,23,.250,.344,.438,.531,.500,.633,.411,.492,1,93.7,94.3,-21
Tomás Nido,60,506,11.9,16,15,14,4,1,1,0,2,1,6.3,1,6.3,5,32,.267,.309,.313,.353,.733,.711,.433,.440,3,93.4,93.3,15
